Name,Title,Rating,Comments
Flipkart Customer,Mind-blowing purchase,5,"Big upgrade from iPhone 13. Weighs much less, battery easily lasts for the whole day, speaker, performance. All are stupendous.READ MORE"
Stanley Philip,Simply awesome,5,Iphone is an iphone.READ MORE
Sarath Babu S,Terrific purchase,5,"Loved the build quality, color and the performance. Truly unmatched when it comes to safety.READ MORE"
Flipkart Customer,Highly recommended,5,Awesome cameraREAD MORE
Aryan Kumar,Great product,5,Loved itREAD MORE
SaiNaga K,Terrific purchase,5,Compact and good performanceREAD MORE
Sagar Kumar,Wonderful,5,GoodREAD MORE
Subhojit Saha,Excellent,5,Just Awesome! This is my 3rd iPhone starting from 6sREAD MORE
Harvinder Singh,Awesome,5,Great experience with great cameraREAD MORE
Kanav Gupta,Great product,5,Surely worth buying Only battery is a little issueREAD MORE
Faisal Khan Warsi ,Wonderful,5,One WordU L T I M A T E....READ MORE
Neeraj  Chauhan,Wonderful,5,NiceREAD MORE
Flipkart Customer,Great product,5,NiceREAD MORE
Ankit Kumar,Brilliant,5,GoodREAD MORE
Ravindra,Super!,5,Quality 😍READ MORE
Flipkart Customer,Awesome,5,I am happy with my new iPhone got it at good priceREAD MORE
Lokesh lokesh,Simply awesome,5,Super mobileREAD MORE
Ahmad Jamal Shamsi,Mind-blowing purchase,5,Best Phone. best color.Significantly awesome!❤️READ MORE
Ashutosh Kumar ,Brilliant,5,AwesomeREAD MORE
Sujeet Kumar,Mind-blowing purchase,5,BestREAD MORE
Asha Customer,Worth every penny,5,BestREAD MORE
Flipkart Customer,Mind-blowing purchase,5,Great phone! Try to buy during sale with extra card offers. Teal colour is unique and rich. Overall a great companion! Go for it!!READ MORE
Lokesh Aggarwal,Excellent,5,Very Good I Am Happy Fast Delivery Orignal Product Brand NewREAD MORE
Sourav  Mondal,Simply awesome,5,Looking so good. The camera and build quality is awesome. 😊READ MORE
Mukesh  Nayak,Must buy!,5,Superb... Allover good 😊💯READ MORE
TUSAR DAS,Terrific purchase,5,AwesomeREAD MORE
Soumya Ranjan  Das,Must buy!,5,Nice design awesome performance. Awesome cameraREAD MORE
Keshaw Jindadil,Worth every penny,5,Smoothy operate and awesome lookData protection amazing and overall performance as per name. Price may be some lower for indians🤙😍READ MORE
Preetam Dutta,Best in the market!,5,"iPhone 16 is great in design, performance, battery life is great although charging is slow. Casual photography is great although lacks in detail but night photos are good, videography is great 👍, black colour is excellent.READ MORE"
Arghya  Mukherjee,Super!,5,GoodREAD MORE
Preet Vashiwale,Mind-blowing purchase,4,Best productREAD MORE
Tapan Kurmi,Worth the money,4,AwesomeREAD MORE
Gautam Mandal ,Worth the money,4,Superb quality in this phone to goodREAD MORE
Ankit Goel,Very Good,4,iPhone 16 has good quality camera and performance super bbbREAD MORE
Ram  Preet ,Wonderful,4,This 16 series is a surprise. I had been using 13 and found a little nudges with it when it comes to performance and the battery section. With the 16 apple has significantly improved in these sections. Battery is amazing I have been using the device for my media play primarily and it is giving me backup of more than half a day with continuous video playback watching movies surfing social media. It is better than my other mobile samsung s23. The camera as usual is good and the phone doesn't la...READ MORE
Vignesh M,Wonderful,4,"Camera gets stuck most of the times. Other than that, performance is good.READ MORE"
Santha Dhavala,Very Good,4,NiceREAD MORE
Divyantar Kumar,Pretty good,4,Good 👍READ MORE
Sahinur Islam,Good quality product,4,Fabulous no wordsREAD MORE
Anirudha Ray,Really Nice,4,Till date best camera provided by Apple. Lot of changes compared to previous models. Speaker and audio mic are very good.READ MORE
Kotaru Rambabu,Good choice,5,Nice Battery drain is very fastREAD MORE
Harsh  Raj,Terrific,3,"Worth it and such a classic camera, overall wonderful experience.READ MORE"
Anandh Mathew,Does the job,5,"For an iPhone lover, make sense! Other than that no major changes.READ MORE"
SUMAN DAS,Perfect product!,5,Wonderfully lightweight stuff. Worth purchasing. Improved speakers and a more seamless display. Incredibly cozy to use with one hand.READ MORE
Udoy Ronghang,Fabulous!,5,Go and get itREAD MORE
Shwet Bhargav,Terrific purchase,5,Terrific 🍾READ MORE
SAMEER POTDAR,Best in the market!,5,Its good one. Security matters most. IOS seems to be secure than AndroidREAD MORE
Aman Singh,Awesome,5,"Just waaaaooo!! Have upragded from ipnone 12. Previous month, i have exchanged my iphone 12 for google pixel 9. Bt my expectations were high, unfortunately was missing my smooth and fast ios which can never be replaced. This month i have purchased iphone 16..guys and girls, never think twice before buying any iphone if your pockets allows you to do so.READ MORE"
Ravi Soni,Brilliant,5,GoodREAD MORE
Irshad Alam,Super!,5,GreatREAD MORE
Flipkart Customer,Mind-blowing purchase,4,Best Product And Good Product Best replace from AndroidREAD MORE
